time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,16.1,46,5.1,2025-12-11,0,mild,15.180000000000001
2025-12-11 01:00:00,15.4,47,5.4,2025-12-11,1,mild,14.46
2025-12-11 02:00:00,14.9,46,5.4,2025-12-11,2,mild,13.98
2025-12-11 03:00:00,14.3,46,5.1,2025-12-11,3,mild,13.38
2025-12-11 04:00:00,13.5,48,5.4,2025-12-11,4,mild,12.54
2025-12-11 05:00:00,13.0,57,5.0,2025-12-11,5,mild,11.86
2025-12-11 06:00:00,12.3,59,5.1,2025-12-11,6,mild,11.120000000000001
2025-12-11 07:00:00,11.6,62,5.1,2025-12-11,7,mild,10.36
2025-12-11 08:00:00,11.6,64,4.5,2025-12-11,8,mild,10.32
2025-12-11 09:00:00,14.3,60,3.9,2025-12-11,9,mild,13.100000000000001
2025-12-11 10:00:00,19.4,40,3.3,2025-12-11,10,mild,18.599999999999998
2025-12-11 11:00:00,22.9,31,1.5,2025-12-11,11,warm,22.279999999999998
2025-12-11 12:00:00,25.7,24,0.4,2025-12-11,12,warm,25.22
2025-12-11 13:00:00,27.4,21,2.9,2025-12-11,13,warm,26.979999999999997
2025-12-11 14:00:00,28.3,16,5.6,2025-12-11,14,warm,27.98
2025-12-11 15:00:00,28.5,15,6.8,2025-12-11,15,warm,28.2
2025-12-11 16:00:00,28.2,15,6.9,2025-12-11,16,warm,27.9
2025-12-11 17:00:00,27.1,20,4.6,2025-12-11,17,warm,26.700000000000003
2025-12-11 18:00:00,25.1,27,2.9,2025-12-11,18,warm,24.560000000000002
2025-12-11 19:00:00,23.4,30,3.1,2025-12-11,19,warm,22.799999999999997
2025-12-11 20:00:00,22.0,34,3.4,2025-12-11,20,warm,21.32
2025-12-11 21:00:00,19.0,44,6.4,2025-12-11,21,mild,18.12
2025-12-11 22:00:00,18.0,56,4.6,2025-12-11,22,mild,16.88
2025-12-11 23:00:00,17.1,67,4.2,2025-12-11,23,mild,15.760000000000002
